LexToken(OPEN_TAG,'<?php',1,1)
LexToken(ONE_LINE_COMMENT,'// Declaración de variables',1,7)
LexToken(ID,'$variable1',1,35)
LexToken(EQUALS,'=',1,46)
LexToken(INTEGER,10,1,48)
LexToken(SEMICOLON,';',1,50)
LexToken(ID,'$variable2',1,52)
LexToken(EQUALS,'=',1,63)
LexToken(STRING,'"Hola, mundo!"',1,65)
LexToken(SEMICOLON,';',1,79)
LexToken(ID,'$variable3',1,81)
LexToken(EQUALS,'=',1,92)
LexToken(TRUE,'true',1,94)
LexToken(SEMICOLON,';',1,98)
LexToken(ONE_LINE_COMMENT,'// Estructura condicional',1,100)
LexToken(IF,'if',1,126)
LexToken(LEFT_PAREN,'(',1,129)
LexToken(ID,'$variable1',1,130)
LexToken(GREATER_THAN,'>',1,141)
LexToken(INTEGER,5,1,143)
LexToken(RIGHT_PAREN,')',1,144)
LexToken(LEFT_BRACE,'{',1,146)
LexToken(ECHO,'echo',1,149)
LexToken(STRING,'"El número es mayor que 5"',1,154)
LexToken(SEMICOLON,';',1,180)
LexToken(RIGHT_BRACE,'}',1,182)
LexToken(ELSE,'else',1,184)
LexToken(LEFT_BRACE,'{',1,189)
LexToken(ECHO,'echo',1,192)
LexToken(STRING,'"El número es menor o igual que 5"',1,197)
LexToken(SEMICOLON,';',1,231)
LexToken(RIGHT_BRACE,'}',1,233)
LexToken(ONE_LINE_COMMENT,'// Bucle',1,235)
LexToken(FOR,'for',1,244)
LexToken(LEFT_PAREN,'(',1,248)
LexToken(ID,'$i',1,249)
LexToken(EQUALS,'=',1,252)
LexToken(INTEGER,0,1,254)
LexToken(SEMICOLON,';',1,255)
LexToken(ID,'$i',1,257)
LexToken(LESS_THAN,'<',1,260)
LexToken(INTEGER,5,1,262)
LexToken(SEMICOLON,';',1,263)
LexToken(ID,'$i',1,265)
LexToken(PLUS_PLUS,'++',1,267)
LexToken(RIGHT_PAREN,')',1,269)
LexToken(LEFT_BRACE,'{',1,271)
LexToken(ECHO,'echo',1,274)
LexToken(STRING,'"Iteración número: $i<br>"',1,279)
LexToken(SEMICOLON,';',1,305)
LexToken(RIGHT_BRACE,'}',1,307)
LexToken(ONE_LINE_COMMENT,'// Operadores aritméticos',1,309)
LexToken(ID,'$resultado',1,335)
LexToken(EQUALS,'=',1,346)
LexToken(ID,'$variable1',1,348)
LexToken(PLUS,'+',1,359)
LexToken(INTEGER,3,1,361)
LexToken(SEMICOLON,';',1,362)
LexToken(ECHO,'echo',1,364)
LexToken(STRING,'"El resultado de la suma es: $resultado"',1,369)
LexToken(SEMICOLON,';',1,409)
LexToken(ONE_LINE_COMMENT,'// Asignación',1,411)
LexToken(ID,'$variable1',1,425)
LexToken(PLUS_EQUALS,'+=',1,436)
LexToken(INTEGER,5,1,439)
LexToken(SEMICOLON,';',1,440)
LexToken(ECHO,'echo',1,442)
LexToken(STRING,'"El valor de variable1 después de la suma es: $variable1"',1,447)
LexToken(SEMICOLON,';',1,504)
LexToken(ONE_LINE_COMMENT,'// Arrays',1,506)
LexToken(ID,'$miArray',1,516)
LexToken(EQUALS,'=',1,525)
LexToken(ARRAY,'array',1,527)
LexToken(LEFT_PAREN,'(',1,532)
LexToken(STRING,'"manzana"',1,533)
LexToken(COMMA,',',1,542)
LexToken(STRING,'"banana"',1,544)
LexToken(COMMA,',',1,552)
LexToken(STRING,'"naranja"',1,554)
LexToken(RIGHT_PAREN,')',1,563)
LexToken(SEMICOLON,';',1,564)
LexToken(ECHO,'echo',1,566)
LexToken(STRING,'"El segundo elemento del array es: "',1,571)
LexToken(DOT,'.',1,608)
LexToken(ID,'$miArray',1,610)
LexToken(LEFT_BRACKET,'[',1,618)
LexToken(INTEGER,1,1,619)
LexToken(RIGHT_BRACKET,']',1,620)
LexToken(SEMICOLON,';',1,621)
LexToken(ONE_LINE_COMMENT,'// Funciones',1,623)
LexToken(FUNCTION,'function',1,636)
LexToken(NAME,'miFuncion',1,645)
LexToken(LEFT_PAREN,'(',1,654)
LexToken(ID,'$parametro1',1,655)
LexToken(COMMA,',',1,666)
LexToken(ID,'$parametro2',1,668)
LexToken(RIGHT_PAREN,')',1,679)
LexToken(LEFT_BRACE,'{',1,681)
LexToken(RETURN,'return',1,687)
LexToken(ID,'$parametro1',1,694)
LexToken(TIMES,'*',1,706)
LexToken(ID,'$parametro2',1,708)
LexToken(SEMICOLON,';',1,719)
LexToken(RIGHT_BRACE,'}',1,721)
LexToken(ECHO,'echo',1,723)
LexToken(STRING,'"El resultado de la función es: "',1,728)
LexToken(DOT,'.',1,762)
LexToken(NAME,'miFuncion',1,764)
LexToken(LEFT_PAREN,'(',1,773)
LexToken(INTEGER,2,1,774)
LexToken(COMMA,',',1,775)
LexToken(INTEGER,3,1,777)
LexToken(RIGHT_PAREN,')',1,778)
LexToken(SEMICOLON,';',1,779)
LexToken(ONE_LINE_COMMENT,'// While',1,781)
LexToken(WHILE,'while',1,790)
LexToken(LEFT_PAREN,'(',1,796)
LexToken(ID,'$i',1,797)
LexToken(LESS_THAN,'<',1,800)
LexToken(INTEGER,10,1,802)
LexToken(RIGHT_PAREN,')',1,804)
LexToken(LEFT_BRACE,'{',1,806)
LexToken(ECHO,'echo',1,812)
LexToken(ID,'$i',1,817)
LexToken(SEMICOLON,';',1,819)
LexToken(ID,'$i',1,825)
LexToken(PLUS_PLUS,'++',1,827)
LexToken(SEMICOLON,';',1,829)
LexToken(RIGHT_BRACE,'}',1,831)
LexToken(CLOSE_TAG,'?>',1,833)
