LexToken(OPEN_TAG,'<?php',1,1)
LexToken(ONE_LINE_COMMENT,'// Solicitud de datos en línea de comandos',1,9)
LexToken(ECHO,'echo',1,52)
LexToken(STRING,'"Introduce tu nombre: "',1,57)
LexToken(SEMICOLON,';',1,80)
LexToken(ID,'$name',1,82)
LexToken(EQUALS,'=',1,88)
LexToken(NAME,'trim',1,90)
LexToken(LPAREN,'(',1,94)
LexToken(NAME,'fgets',1,95)
LexToken(LPAREN,'(',1,100)
LexToken(NAME,'STDIN',1,101)
LexToken(RPAREN,')',1,106)
LexToken(RPAREN,')',1,107)
LexToken(SEMICOLON,';',1,108)
LexToken(ECHO,'echo',1,110)
LexToken(STRING,'"Introduce tu edad: "',1,115)
LexToken(SEMICOLON,';',1,136)
LexToken(ID,'$age',1,138)
LexToken(EQUALS,'=',1,143)
LexToken(LPAREN,'(',1,145)
LexToken(NAME,'int',1,146)
LexToken(RPAREN,')',1,149)
LexToken(NAME,'trim',1,150)
LexToken(LPAREN,'(',1,154)
LexToken(NAME,'fgets',1,155)
LexToken(LPAREN,'(',1,160)
LexToken(NAME,'STDIN',1,161)
LexToken(RPAREN,')',1,166)
LexToken(RPAREN,')',1,167)
LexToken(SEMICOLON,';',1,168)
LexToken(ECHO,'echo',1,170)
LexToken(STRING,'"Introduce tu altura en metros (por ejemplo, 1.75): "',1,175)
LexToken(SEMICOLON,';',1,228)
LexToken(ID,'$height',1,230)
LexToken(EQUALS,'=',1,238)
LexToken(LPAREN,'(',1,240)
LexToken(NAME,'float',1,241)
LexToken(RPAREN,')',1,246)
LexToken(NAME,'trim',1,247)
LexToken(LPAREN,'(',1,251)
LexToken(NAME,'fgets',1,252)
LexToken(LPAREN,'(',1,257)
LexToken(NAME,'STDIN',1,258)
LexToken(RPAREN,')',1,263)
LexToken(RPAREN,')',1,264)
LexToken(SEMICOLON,';',1,265)
LexToken(ONE_LINE_COMMENT,'// Flotantes y operadores aritméticos',1,267)
LexToken(ID,'$weight',1,305)
LexToken(EQUALS,'=',1,313)
LexToken(FLOAT,70.5,1,315)
LexToken(SEMICOLON,';',1,319)
LexToken(ONE_LINE_COMMENT,'// Peso en kilogramos',1,321)
LexToken(ID,'$bmi',1,343)
LexToken(EQUALS,'=',1,348)
LexToken(ID,'$weight',1,350)
LexToken(DIVIDE,'/',1,358)
LexToken(LPAREN,'(',1,360)
LexToken(ID,'$height',1,361)
LexToken(TIMES,'*',1,369)
LexToken(ID,'$height',1,371)
LexToken(RPAREN,')',1,378)
LexToken(SEMICOLON,';',1,379)
LexToken(ONE_LINE_COMMENT,'// Índice de Masa Corporal (IMC)',1,381)
LexToken(ECHO,'echo',1,414)
LexToken(STRING,'"Hola, $name. Tu IMC es "',1,419)
LexToken(DOT,'.',1,445)
LexToken(ID,'$bmi',1,447)
LexToken(DOT,'.',1,452)
LexToken(STRING,'".\n"',1,454)
LexToken(SEMICOLON,';',1,458)
LexToken(ONE_LINE_COMMENT,'// Enumeraciones (simuladas con arrays)',1,460)
LexToken(ID,'$colors',1,500)
LexToken(EQUALS,'=',1,508)
LexToken(LEFT_BRACKET,'[',1,510)
LexToken(STRING,'"RED"',1,511)
LexToken(COMMA,',',1,516)
LexToken(STRING,'"GREEN"',1,518)
LexToken(COMMA,',',1,525)
LexToken(STRING,'"BLUE"',1,527)
LexToken(RIGHT_BRACKET,']',1,533)
LexToken(SEMICOLON,';',1,534)
LexToken(ID,'$favoriteColor',1,536)
LexToken(EQUALS,'=',1,551)
LexToken(ID,'$colors',1,553)
LexToken(LEFT_BRACKET,'[',1,560)
LexToken(INTEGER,1,1,561)
LexToken(RIGHT_BRACKET,']',1,562)
LexToken(SEMICOLON,';',1,563)
LexToken(ONE_LINE_COMMENT,'// Asignando "GREEN"',1,565)
LexToken(ECHO,'echo',1,586)
LexToken(STRING,'"Tu color favorito es $favoriteColor.\n"',1,591)
LexToken(SEMICOLON,';',1,630)
LexToken(ONE_LINE_COMMENT,'// Operadores lógicos y relacionales',1,632)
LexToken(ID,'$isAdult',1,669)
LexToken(EQUALS,'=',1,678)
LexToken(LPAREN,'(',1,680)
LexToken(ID,'$age',1,681)
LexToken(GREATER_EQUAL,'>=',1,686)
LexToken(INTEGER,18,1,689)
LexToken(RPAREN,')',1,691)
LexToken(SEMICOLON,';',1,692)
LexToken(ID,'$isTall',1,694)
LexToken(EQUALS,'=',1,702)
LexToken(LPAREN,'(',1,704)
LexToken(ID,'$height',1,705)
LexToken(GREATER_THAN,'>',1,713)
LexToken(FLOAT,1.75,1,715)
