LexToken(LEFT_PAREN,'(',1,1022)
LexToken(INTEGER,2,1,1023)
LexToken(COMMA,',',1,1024)
LexToken(INTEGER,2,1,1025)
LexToken(COMMA,',',1,1026)
LexToken(INTEGER,3,1,1027)
LexToken(RIGHT_PAREN,')',1,1028)
LexToken(SEMICOLON,';',1,1029)
LexToken(NAME,'multiplicarNumeros',1,1031)
LexToken(LEFT_PAREN,'(',1,1049)
LexToken(INTEGER,2,1,1050)
LexToken(COMMA,',',1,1051)
LexToken(INTEGER,2,1,1052)
LexToken(RIGHT_PAREN,')',1,1053)
LexToken(SEMICOLON,';',1,1054)
LexToken(ONE_LINE_COMMENT,'// While',1,1058)
LexToken(WHILE,'while',1,1067)
LexToken(LEFT_PAREN,'(',1,1073)
LexToken(ID,'$i',1,1074)
LexToken(LESS_THAN,'<',1,1077)
LexToken(INTEGER,10,1,1079)
LexToken(RIGHT_PAREN,')',1,1081)
LexToken(LEFT_BRACE,'{',1,1083)
LexToken(ECHO,'echo',1,1089)
LexToken(ID,'$i',1,1094)
LexToken(SEMICOLON,';',1,1096)
LexToken(ID,'$i',1,1102)
LexToken(PLUS_PLUS,'++',1,1104)
LexToken(SEMICOLON,';',1,1106)
LexToken(RIGHT_BRACE,'}',1,1108)
LexToken(ONE_LINE_COMMENT,'// Arrays',1,1110)
LexToken(ID,'$lista',1,1120)
LexToken(EQUALS,'=',1,1127)
LexToken(ARRAY,'array',1,1129)
LexToken(LEFT_PAREN,'(',1,1134)
LexToken(INTEGER,1,1,1135)
LexToken(COMMA,',',1,1136)
LexToken(STRING,'"hola"',1,1138)
LexToken(COMMA,',',1,1144)
LexToken(FLOAT,3.14,1,1146)
LexToken(COMMA,',',1,1150)
LexToken(TRUE,'true',1,1152)
LexToken(RIGHT_PAREN,')',1,1156)
LexToken(SEMICOLON,';',1,1157)
LexToken(ID,'$lista',1,1159)
LexToken(LEFT_BRACKET,'[',1,1165)
LexToken(INTEGER,1,1,1166)
LexToken(RIGHT_BRACKET,']',1,1167)
LexToken(SEMICOLON,';',1,1168)
LexToken(ID,'$lista',1,1170)
LexToken(LEFT_BRACKET,'[',1,1176)
LexToken(INTEGER,1,1,1177)
LexToken(RIGHT_BRACKET,']',1,1178)
LexToken(EQUALS,'=',1,1180)
LexToken(STRING,'"mundo"',1,1182)
LexToken(SEMICOLON,';',1,1189)
LexToken(ID,'$lista',1,1191)
LexToken(LEFT_BRACKET,'[',1,1197)
LexToken(RIGHT_BRACKET,']',1,1198)
LexToken(EQUALS,'=',1,1200)
LexToken(INTEGER,42,1,1202)
LexToken(SEMICOLON,';',1,1204)
LexToken(UNSET,'unset',1,1206)
LexToken(LEFT_PAREN,'(',1,1211)
LexToken(ID,'$lista',1,1212)
LexToken(LEFT_BRACKET,'[',1,1218)
LexToken(INTEGER,2,1,1219)
LexToken(RIGHT_BRACKET,']',1,1220)
LexToken(RIGHT_PAREN,')',1,1221)
LexToken(SEMICOLON,';',1,1222)
LexToken(COUNT,'count',1,1224)
LexToken(LEFT_PAREN,'(',1,1229)
LexToken(ID,'$lista',1,1230)
LexToken(RIGHT_PAREN,')',1,1236)
LexToken(SEMICOLON,';',1,1237)
LexToken(CLOSE_TAG,'?>',1,1239)
