LexToken(OPEN_TAG,'<?php',1,1)
LexToken(FOR,'for',1,11)
LexToken(LEFT_PAREN,'(',1,15)
LexToken(ID,'$i',1,16)
LexToken(EQUALS,'=',1,19)
LexToken(INTEGER,1,1,21)
LexToken(SEMICOLON,';',1,22)
LexToken(ID,'$i',1,24)
LexToken(LESS_EQUAL,'<=',1,27)
LexToken(INTEGER,10,1,30)
LexToken(SEMICOLON,';',1,32)
LexToken(ID,'$i',1,34)
LexToken(PLUS_PLUS,'++',1,36)
LexToken(RIGHT_PAREN,')',1,38)
LexToken(LEFT_BRACE,'{',1,40)
LexToken(ECHO,'echo',1,50)
LexToken(ID,'$i',1,55)
LexToken(SEMICOLON,';',1,57)
LexToken(RIGHT_BRACE,'}',1,63)
LexToken(FOR,'for',1,70)
LexToken(LEFT_PAREN,'(',1,74)
LexToken(SEMICOLON,';',1,75)
LexToken(SEMICOLON,';',1,77)
LexToken(RIGHT_PAREN,')',1,79)
LexToken(LEFT_BRACE,'{',1,81)
LexToken(IF,'if',1,91)
LexToken(LEFT_PAREN,'(',1,94)
LexToken(ID,'$i',1,95)
LexToken(GREATER_THAN,'>',1,98)
LexToken(INTEGER,10,1,100)
LexToken(RIGHT_PAREN,')',1,102)
LexToken(LEFT_BRACE,'{',1,104)
LexToken(BREAK,'break',1,118)
LexToken(SEMICOLON,';',1,123)
LexToken(RIGHT_BRACE,'}',1,133)
LexToken(ECHO,'echo',1,143)
LexToken(ID,'$i',1,148)
LexToken(SEMICOLON,';',1,150)
LexToken(ID,'$i',1,160)
LexToken(PLUS_PLUS,'++',1,162)
LexToken(SEMICOLON,';',1,164)
LexToken(RIGHT_BRACE,'}',1,170)
LexToken(FOR,'for',1,177)
LexToken(LEFT_PAREN,'(',1,181)
LexToken(ID,'$i',1,182)
LexToken(EQUALS,'=',1,185)
LexToken(INTEGER,1,1,187)
LexToken(SEMICOLON,';',1,188)
LexToken(SEMICOLON,';',1,190)
LexToken(ID,'$i',1,192)
LexToken(PLUS_PLUS,'++',1,194)
LexToken(RIGHT_PAREN,')',1,196)
LexToken(LEFT_BRACE,'{',1,198)
LexToken(IF,'if',1,208)
LexToken(LEFT_PAREN,'(',1,211)
LexToken(ID,'$i',1,212)
LexToken(GREATER_THAN,'>',1,215)
LexToken(INTEGER,10,1,217)
LexToken(RIGHT_PAREN,')',1,219)
LexToken(LEFT_BRACE,'{',1,221)
LexToken(BREAK,'break',1,235)
LexToken(SEMICOLON,';',1,240)
LexToken(RIGHT_BRACE,'}',1,250)
LexToken(ECHO,'echo',1,260)
LexToken(ID,'$i',1,265)
LexToken(SEMICOLON,';',1,267)
LexToken(RIGHT_BRACE,'}',1,273)
LexToken(FOR,'for',1,280)
LexToken(LEFT_PAREN,'(',1,284)
LexToken(ID,'$i',1,285)
LexToken(EQUALS,'=',1,288)
LexToken(INTEGER,1,1,290)
LexToken(COMMA,',',1,291)
LexToken(ID,'$j',1,293)
LexToken(EQUALS,'=',1,296)
LexToken(INTEGER,0,1,298)
LexToken(SEMICOLON,';',1,299)
LexToken(ID,'$i',1,301)
LexToken(LESS_EQUAL,'<=',1,304)
LexToken(INTEGER,10,1,307)
LexToken(SEMICOLON,';',1,309)
LexToken(ID,'$j',1,311)
LexToken(PLUS_EQUALS,'+=',1,314)
LexToken(ID,'$i',1,317)
LexToken(COMMA,',',1,319)
LexToken(PRINT,'print',1,321)
LexToken(ID,'$i',1,327)
LexToken(COMMA,',',1,329)
LexToken(ID,'$i',1,331)
LexToken(PLUS_PLUS,'++',1,333)
LexToken(RIGHT_PAREN,')',1,335)
LexToken(SEMICOLON,';',1,336)
LexToken(ID,'$i',1,343)
LexToken(EQUALS,'=',1,346)
LexToken(INTEGER,1,1,348)
LexToken(SEMICOLON,';',1,349)
LexToken(WHILE,'while',1,355)
LexToken(LEFT_PAREN,'(',1,361)
LexToken(ID,'$i',1,362)
LexToken(LESS_EQUAL,'<=',1,365)
LexToken(INTEGER,10,1,368)
LexToken(RIGHT_PAREN,')',1,370)
LexToken(LEFT_BRACE,'{',1,372)
LexToken(ECHO,'echo',1,382)
LexToken(ID,'$i',1,387)
LexToken(PLUS_PLUS,'++',1,389)
LexToken(SEMICOLON,';',1,391)
LexToken(MULTI_LINE_COMMENT,'/* el valor presentado sería\n                    $i antes del incremento\n                    (post-incremento) */',1,394)
LexToken(RIGHT_BRACE,'}',1,512)
LexToken(CLOSE_TAG,'?>',1,514)
