LexToken(OPEN_TAG,'<?php',1,1)
LexToken(ONE_LINE_COMMENT,'// Solicitud de datos en línea de comandos',1,7)
LexToken(ECHO,'echo',1,50)
LexToken(STRING,'"Introduce tu nombre: "',1,55)
LexToken(SEMICOLON,';',1,78)
LexToken(ID,'$name',1,80)
LexToken(EQUALS,'=',1,86)
LexToken(NAME,'trim',1,88)
LexToken(LEFT_PAREN,'(',1,92)
LexToken(FGETS,'fgets',1,93)
LexToken(LEFT_PAREN,'(',1,98)
LexToken(STDIN,'STDIN',1,99)
LexToken(RIGHT_PAREN,')',1,104)
LexToken(RIGHT_PAREN,')',1,105)
LexToken(SEMICOLON,';',1,106)
LexToken(ECHO,'echo',1,108)
LexToken(STRING,'"Introduce tu edad: "',1,113)
LexToken(SEMICOLON,';',1,134)
LexToken(ID,'$age',1,136)
LexToken(EQUALS,'=',1,141)
LexToken(LEFT_PAREN,'(',1,143)
LexToken(INT_TYPE,'int',1,144)
LexToken(RIGHT_PAREN,')',1,147)
LexToken(NAME,'trim',1,148)
LexToken(LEFT_PAREN,'(',1,152)
LexToken(FGETS,'fgets',1,153)
LexToken(LEFT_PAREN,'(',1,158)
LexToken(STDIN,'STDIN',1,159)
LexToken(RIGHT_PAREN,')',1,164)
LexToken(RIGHT_PAREN,')',1,165)
LexToken(SEMICOLON,';',1,166)
LexToken(ECHO,'echo',1,168)
LexToken(STRING,'"Introduce tu altura en metros (por ejemplo, 1.75): "',1,173)
LexToken(SEMICOLON,';',1,226)
LexToken(ID,'$height',1,228)
LexToken(EQUALS,'=',1,236)
LexToken(LEFT_PAREN,'(',1,238)
LexToken(FLOAT_TYPE,'float',1,239)
LexToken(RIGHT_PAREN,')',1,244)
LexToken(NAME,'trim',1,245)
LexToken(LEFT_PAREN,'(',1,249)
LexToken(FGETS,'fgets',1,250)
LexToken(LEFT_PAREN,'(',1,255)
LexToken(STDIN,'STDIN',1,256)
LexToken(RIGHT_PAREN,')',1,261)
LexToken(RIGHT_PAREN,')',1,262)
LexToken(SEMICOLON,';',1,263)
LexToken(ONE_LINE_COMMENT,'// Flotantes y operadores aritméticos',1,265)
LexToken(ID,'$weight',1,303)
LexToken(EQUALS,'=',1,311)
LexToken(FLOAT,70.5,1,313)
LexToken(SEMICOLON,';',1,317)
LexToken(ONE_LINE_COMMENT,'// Peso en kilogramos',1,319)
LexToken(ID,'$bmi',1,341)
LexToken(EQUALS,'=',1,346)
LexToken(ID,'$weight',1,348)
LexToken(DIVIDE,'/',1,356)
LexToken(LEFT_PAREN,'(',1,358)
LexToken(ID,'$height',1,359)
LexToken(TIMES,'*',1,367)
LexToken(ID,'$height',1,369)
LexToken(RIGHT_PAREN,')',1,376)
LexToken(SEMICOLON,';',1,377)
LexToken(ONE_LINE_COMMENT,'// Índice de Masa Corporal (IMC)',1,379)
LexToken(ECHO,'echo',1,412)
LexToken(STRING,'"Hola, $name. Tu IMC es "',1,417)
LexToken(DOT,'.',1,443)
LexToken(ID,'$bmi',1,445)
LexToken(DOT,'.',1,450)
LexToken(STRING,'".\n"',1,452)
LexToken(SEMICOLON,';',1,456)
LexToken(ONE_LINE_COMMENT,'// Enumeraciones (simuladas con arrays)',1,458)
LexToken(ID,'$colors',1,498)
