LexToken(OPEN_TAG,'<?php',1,1)
LexToken(FSCANF,'fscanf',1,11)
LexToken(LEFT_PAREN,'(',1,17)
LexToken(STDIN,'STDIN',1,18)
LexToken(COMMA,',',1,23)
LexToken(STRING,'"%d %s"',1,25)
LexToken(COMMA,',',1,32)
LexToken(ID,'$var1',1,34)
LexToken(COMMA,',',1,39)
LexToken(ID,'$var2',1,41)
LexToken(RIGHT_PAREN,')',1,46)
LexToken(SEMICOLON,';',1,47)
LexToken(PRINT,'print',1,53)
LexToken(STRING,'"Hello, World!"',1,59)
LexToken(SEMICOLON,';',1,74)
LexToken(ID,'$var',1,80)
LexToken(EQUALS,'=',1,85)
LexToken(INTEGER,42,1,87)
LexToken(SEMICOLON,';',1,89)
LexToken(ID,'$a',1,95)
LexToken(EQUALS,'=',1,98)
LexToken(LEFT_PAREN,'(',1,100)
LexToken(INTEGER,10,1,101)
LexToken(PLUS,'+',1,104)
LexToken(INTEGER,5,1,106)
LexToken(RIGHT_PAREN,')',1,107)
LexToken(SEMICOLON,';',1,108)
LexToken(ID,'$b',1,114)
LexToken(EQUALS,'=',1,117)
LexToken(LEFT_PAREN,'(',1,119)
LexToken(INTEGER,20,1,120)
LexToken(MINUS,'-',1,123)
LexToken(INTEGER,3,1,125)
LexToken(RIGHT_PAREN,')',1,126)
LexToken(TIMES,'*',1,128)
LexToken(INTEGER,2,1,130)
LexToken(DIVIDE,'/',1,132)
LexToken(INTEGER,4,1,134)
LexToken(SEMICOLON,';',1,135)
LexToken(ID,'$c',1,141)
LexToken(EQUALS,'=',1,144)
LexToken(ID,'$a',1,146)
LexToken(PLUS,'+',1,149)
LexToken(ID,'$b',1,151)
LexToken(MINUS,'-',1,154)
LexToken(INTEGER,15,1,156)
LexToken(SEMICOLON,';',1,158)
LexToken(IF,'if',1,164)
LexToken(LEFT_PAREN,'(',1,167)
LexToken(ID,'$a',1,168)
LexToken(GREATER_THAN,'>',1,171)
LexToken(INTEGER,10,1,173)
LexToken(LOGICAL_AND,'&&',1,176)
LexToken(ID,'$b',1,179)
LexToken(LESS_THAN,'<',1,182)
LexToken(INTEGER,20,1,184)
LexToken(RIGHT_PAREN,')',1,186)
LexToken(LEFT_BRACE,'{',1,188)
LexToken(ID,'$c',1,198)
LexToken(EQUALS,'=',1,201)
LexToken(ID,'$a',1,203)
LexToken(PLUS,'+',1,206)
LexToken(ID,'$b',1,208)
LexToken(SEMICOLON,';',1,210)
LexToken(RIGHT_BRACE,'}',1,216)
LexToken(ELSE,'else',1,218)
LexToken(LEFT_BRACE,'{',1,223)
LexToken(ID,'$c',1,233)
LexToken(EQUALS,'=',1,236)
LexToken(ID,'$a',1,238)
LexToken(MINUS,'-',1,241)
LexToken(ID,'$b',1,243)
LexToken(SEMICOLON,';',1,245)
LexToken(RIGHT_BRACE,'}',1,251)
LexToken(FUNCTION,'function',1,259)
LexToken(NAME,'saludar',1,268)
LexToken(LEFT_PAREN,'(',1,275)
LexToken(ID,'$nombre',1,276)
LexToken(RIGHT_PAREN,')',1,283)
LexToken(LEFT_BRACE,'{',1,285)
LexToken(RETURN,'return',1,291)
LexToken(STRING,'"¡Hola, $nombre!"',1,298)
LexToken(SEMICOLON,';',1,315)
LexToken(RIGHT_BRACE,'}',1,321)
LexToken(CLOSE_TAG,'?>',1,323)
