LexToken(NEW,'new',1,953)
LexToken(NAME,'Person',1,957)
LexToken(DELIMITER,'(',1,963)
LexToken(STRING,'"Ana"',1,964)
LexToken(COMMA,',',1,969)
LexToken(INTEGER,25,1,971)
LexToken(DELIMITER,')',1,973)
LexToken(DELIMITER,';',1,974)
LexToken(ECHO,'echo',1,978)
LexToken(ID,'$person',1,983)
LexToken(CALL,'->',1,990)
LexToken(NAME,'introduce',1,992)
LexToken(DELIMITER,'(',1,1001)
LexToken(DELIMITER,')',1,1002)
LexToken(CONCAT_STRING,'.',1,1004)
LexToken(STRING,'"\n"',1,1006)
LexToken(DELIMITER,';',1,1009)
LexToken(ONE_LINE_COMMENT,'// Declaración de array asociativo ',1,1016)
LexToken(ID,'$grades',1,1053)
LexToken(ASSIGMENT_OP,'=',1,1061)
LexToken(ARRAY,'array',1,1063)
LexToken(DELIMITER,'(',1,1068)
LexToken(STRING,'"math"',1,1076)
LexToken(ASSIGMENT_OP,'=',1,1083)
LexToken(GREATER_THAN,'>',1,1084)
LexToken(INTEGER,90,1,1086)
LexToken(COMMA,',',1,1088)
LexToken(STRING,'"science"',1,1096)
LexToken(ASSIGMENT_OP,'=',1,1106)
LexToken(GREATER_THAN,'>',1,1107)
LexToken(INTEGER,85,1,1109)
LexToken(COMMA,',',1,1111)
LexToken(STRING,'"literature"',1,1119)
LexToken(ASSIGMENT_OP,'=',1,1132)
LexToken(GREATER_THAN,'>',1,1133)
LexToken(INTEGER,88,1,1135)
LexToken(DELIMITER,')',1,1140)
LexToken(DELIMITER,';',1,1141)
LexToken(ONE_LINE_COMMENT,'// Función con parámetros numéricos ',1,1148)
LexToken(FUNCTION,'function',1,1186)
LexToken(NAME,'calculateArea',1,1195)
LexToken(DELIMITER,'(',1,1208)
LexToken(ID,'$length',1,1209)
LexToken(COMMA,',',1,1216)
LexToken(ID,'$width',1,1218)
LexToken(DELIMITER,')',1,1224)
LexToken(DELIMITER,'{',1,1226)
LexToken(RETURN,'return',1,1234)
LexToken(ID,'$length',1,1241)
LexToken(TIMES,'*',1,1249)
LexToken(ID,'$width',1,1251)
LexToken(DELIMITER,';',1,1257)
LexToken(DELIMITER,'}',1,1261)
LexToken(ECHO,'echo',1,1268)
LexToken(STRING,'"Área: "',1,1273)
LexToken(CONCAT_STRING,'.',1,1282)
LexToken(NAME,'calculateArea',1,1284)
LexToken(DELIMITER,'(',1,1297)
LexToken(INTEGER,5,1,1298)
LexToken(COMMA,',',1,1299)
LexToken(INTEGER,4,1,1301)
LexToken(DELIMITER,')',1,1302)
LexToken(CONCAT_STRING,'.',1,1304)
LexToken(STRING,'"\n"',1,1306)
LexToken(DELIMITER,';',1,1309)
LexToken(PHP_CLOSE_TAG,'?>',1,1313)
