LexToken(OPEN_TAG,'<?php',1,1)
LexToken(ONE_LINE_COMMENT,'// Solicitud de datos en línea de comandos',1,11)
LexToken(ECHO,'echo',1,58)
LexToken(STRING,'"Introduce tu nombre: "',1,63)
LexToken(SEMICOLON,';',1,86)
LexToken(ID,'$name',1,92)
LexToken(EQUALS,'=',1,98)
LexToken(NAME,'trim',1,100)
LexToken(LEFT_PAREN,'(',1,104)
LexToken(FGETS,'fgets',1,105)
LexToken(LEFT_PAREN,'(',1,110)
LexToken(STDIN,'STDIN',1,111)
LexToken(RIGHT_PAREN,')',1,116)
LexToken(RIGHT_PAREN,')',1,117)
LexToken(SEMICOLON,';',1,118)
LexToken(ECHO,'echo',1,124)
LexToken(STRING,'"Introduce tu edad: "',1,129)
LexToken(SEMICOLON,';',1,150)
LexToken(ID,'$age',1,156)
LexToken(EQUALS,'=',1,161)
LexToken(LEFT_PAREN,'(',1,163)
LexToken(INT_TYPE,'int',1,164)
LexToken(RIGHT_PAREN,')',1,167)
LexToken(NAME,'trim',1,168)
LexToken(LEFT_PAREN,'(',1,172)
LexToken(FGETS,'fgets',1,173)
LexToken(LEFT_PAREN,'(',1,178)
LexToken(STDIN,'STDIN',1,179)
LexToken(RIGHT_PAREN,')',1,184)
LexToken(RIGHT_PAREN,')',1,185)
LexToken(SEMICOLON,';',1,186)
LexToken(ECHO,'echo',1,192)
LexToken(STRING,'"Introduce tu altura en metros (por ejemplo, 1.75): "',1,197)
LexToken(SEMICOLON,';',1,250)
LexToken(ID,'$height',1,256)
LexToken(EQUALS,'=',1,264)
LexToken(LEFT_PAREN,'(',1,266)
LexToken(FLOAT_TYPE,'float',1,267)
LexToken(RIGHT_PAREN,')',1,272)
LexToken(NAME,'trim',1,273)
LexToken(LEFT_PAREN,'(',1,277)
LexToken(FGETS,'fgets',1,278)
LexToken(LEFT_PAREN,'(',1,283)
LexToken(STDIN,'STDIN',1,284)
LexToken(RIGHT_PAREN,')',1,289)
LexToken(RIGHT_PAREN,')',1,290)
LexToken(SEMICOLON,';',1,291)
LexToken(ONE_LINE_COMMENT,'// Flotantes y operadores aritméticos',1,297)
LexToken(ID,'$weight',1,339)
LexToken(EQUALS,'=',1,347)
LexToken(FLOAT,70.5,1,349)
LexToken(SEMICOLON,';',1,353)
LexToken(ONE_LINE_COMMENT,'// Peso en kilogramos',1,355)
LexToken(ID,'$bmi',1,381)
LexToken(EQUALS,'=',1,386)
LexToken(ID,'$weight',1,388)
LexToken(DIVIDE,'/',1,396)
LexToken(LEFT_PAREN,'(',1,398)
LexToken(ID,'$height',1,399)
LexToken(TIMES,'*',1,407)
LexToken(ID,'$height',1,409)
LexToken(RIGHT_PAREN,')',1,416)
LexToken(SEMICOLON,';',1,417)
LexToken(ONE_LINE_COMMENT,'// Índice de Masa Corporal (IMC)',1,419)
LexToken(ECHO,'echo',1,456)
LexToken(STRING,'"Hola, $name. Tu IMC es "',1,461)
LexToken(DOT,'.',1,487)
LexToken(ID,'$bmi',1,489)
LexToken(DOT,'.',1,494)
LexToken(STRING,'".\n"',1,496)
LexToken(SEMICOLON,';',1,500)
LexToken(ONE_LINE_COMMENT,'// Enumeraciones (simuladas con arrays)',1,506)
LexToken(ID,'$colors',1,550)
LexToken(EQUALS,'=',1,558)
LexToken(LEFT_BRACKET,'[',1,560)
LexToken(STRING,'"RED"',1,561)
LexToken(COMMA,',',1,566)
LexToken(STRING,'"GREEN"',1,568)
LexToken(COMMA,',',1,575)
LexToken(STRING,'"BLUE"',1,577)
LexToken(RIGHT_BRACKET,']',1,583)
LexToken(SEMICOLON,';',1,584)
LexToken(ID,'$favoriteColor',1,590)
LexToken(EQUALS,'=',1,605)
LexToken(ID,'$colors',1,607)
LexToken(LEFT_BRACKET,'[',1,614)
LexToken(INTEGER,1,1,615)
LexToken(RIGHT_BRACKET,']',1,616)
LexToken(SEMICOLON,';',1,617)
LexToken(ONE_LINE_COMMENT,'// Asignando "GREEN"',1,619)
LexToken(ECHO,'echo',1,644)
LexToken(STRING,'"Tu color favorito es $favoriteColor.\n"',1,649)
LexToken(SEMICOLON,';',1,688)
LexToken(ONE_LINE_COMMENT,'// Operadores lógicos y relacionales',1,694)
LexToken(ID,'$isAdult',1,735)
LexToken(EQUALS,'=',1,744)
LexToken(LEFT_PAREN,'(',1,746)
LexToken(ID,'$age',1,747)
LexToken(GREATER_EQUAL,'>=',1,752)
LexToken(INTEGER,18,1,755)
LexToken(RIGHT_PAREN,')',1,757)
LexToken(SEMICOLON,';',1,758)
LexToken(ID,'$isTall',1,764)
LexToken(EQUALS,'=',1,772)
LexToken(LEFT_PAREN,'(',1,774)
LexToken(ID,'$height',1,775)
LexToken(GREATER_THAN,'>',1,783)
LexToken(FLOAT,1.75,1,785)
LexToken(RIGHT_PAREN,')',1,789)
LexToken(SEMICOLON,';',1,790)
LexToken(IF,'if',1,796)
LexToken(LEFT_PAREN,'(',1,799)
LexToken(ID,'$isAdult',1,800)
LexToken(LOGICAL_AND,'&&',1,809)
LexToken(ID,'$isTall',1,812)
LexToken(RIGHT_PAREN,')',1,819)
LexToken(LEFT_BRACE,'{',1,821)
LexToken(ECHO,'echo',1,827)
LexToken(STRING,'"Eres adulto y alto.\n"',1,832)
LexToken(SEMICOLON,';',1,854)
LexToken(RIGHT_BRACE,'}',1,860)
LexToken(ELSEIF,'elseif',1,862)
LexToken(LEFT_PAREN,'(',1,869)
LexToken(ID,'$isAdult',1,870)
LexToken(LOGICAL_AND,'&&',1,879)
LexToken(LOGICAL_NOT,'!',1,882)
LexToken(ID,'$isTall',1,883)
LexToken(RIGHT_PAREN,')',1,890)
LexToken(LEFT_BRACE,'{',1,892)
LexToken(ECHO,'echo',1,898)
LexToken(STRING,'"Eres adulto pero no alto.\n"',1,903)
LexToken(SEMICOLON,';',1,931)
LexToken(RIGHT_BRACE,'}',1,937)
LexToken(ELSEIF,'elseif',1,939)
LexToken(LEFT_PAREN,'(',1,946)
LexToken(LOGICAL_NOT,'!',1,947)
LexToken(ID,'$isAdult',1,948)
LexToken(LOGICAL_AND,'&&',1,957)
LexToken(ID,'$isTall',1,960)
LexToken(RIGHT_PAREN,')',1,967)
LexToken(LEFT_BRACE,'{',1,969)
LexToken(ECHO,'echo',1,975)
LexToken(STRING,'"Eres alto pero no adulto.\n"',1,980)
LexToken(SEMICOLON,';',1,1008)
LexToken(RIGHT_BRACE,'}',1,1014)
LexToken(ELSE,'else',1,1016)
LexToken(LEFT_BRACE,'{',1,1021)
LexToken(ECHO,'echo',1,1027)
LexToken(STRING,'"No eres ni adulto ni alto.\n"',1,1032)
LexToken(SEMICOLON,';',1,1061)
LexToken(RIGHT_BRACE,'}',1,1067)
LexToken(ONE_LINE_COMMENT,'// Operadores de asignación',1,1073)
LexToken(ID,'$count',1,1105)
LexToken(EQUALS,'=',1,1112)
LexToken(INTEGER,0,1,1114)
LexToken(SEMICOLON,';',1,1115)
LexToken(ID,'$count',1,1121)
LexToken(PLUS_EQUALS,'+=',1,1128)
LexToken(INTEGER,10,1,1131)
LexToken(SEMICOLON,';',1,1133)
LexToken(ONE_LINE_COMMENT,'// Incremento en 10',1,1135)
LexToken(ID,'$count',1,1159)
LexToken(MINUS_EQUALS,'-=',1,1166)
LexToken(INTEGER,2,1,1169)
LexToken(SEMICOLON,';',1,1170)
LexToken(ONE_LINE_COMMENT,'// Decremento en 2',1,1172)
LexToken(ID,'$count',1,1195)
LexToken(TIMES_EQUALS,'*=',1,1202)
LexToken(INTEGER,3,1,1205)
LexToken(SEMICOLON,';',1,1206)
LexToken(ONE_LINE_COMMENT,'// Multiplicación por 3',1,1208)
LexToken(ID,'$count',1,1236)
LexToken(DIVIDE_EQUALS,'/=',1,1243)
LexToken(INTEGER,4,1,1246)
LexToken(SEMICOLON,';',1,1247)
LexToken(ONE_LINE_COMMENT,'// División por 4',1,1249)
LexToken(ID,'$count',1,1271)
LexToken(PLUS_PLUS,'++',1,1277)
LexToken(SEMICOLON,';',1,1279)
LexToken(ONE_LINE_COMMENT,'// Incremento en 1',1,1281)
LexToken(ID,'$count',1,1304)
LexToken(MINUS_MINUS,'--',1,1310)
LexToken(SEMICOLON,';',1,1312)
LexToken(ONE_LINE_COMMENT,'// Decremento en 1',1,1314)
LexToken(ECHO,'echo',1,1337)
LexToken(STRING,'"El valor de count es $count.\n"',1,1342)
LexToken(SEMICOLON,';',1,1373)
LexToken(MULTI_LINE_COMMENT,'/*\n    Comentarios de múltiples líneas\n    Ejemplo de bucles while y do-while\n    */',1,1379)
LexToken(ONE_LINE_COMMENT,'// Bucle while',1,1468)
LexToken(ID,'$i',1,1487)
LexToken(EQUALS,'=',1,1490)
LexToken(INTEGER,0,1,1492)
LexToken(SEMICOLON,';',1,1493)
LexToken(WHILE,'while',1,1499)
LexToken(LEFT_PAREN,'(',1,1505)
LexToken(ID,'$i',1,1506)
LexToken(LESS_THAN,'<',1,1509)
LexToken(INTEGER,3,1,1511)
LexToken(RIGHT_PAREN,')',1,1512)
LexToken(LEFT_BRACE,'{',1,1514)
LexToken(ECHO,'echo',1,1520)
LexToken(STRING,'"While loop iteración: $i\n"',1,1525)
LexToken(SEMICOLON,';',1,1552)
LexToken(ID,'$i',1,1558)
LexToken(PLUS_PLUS,'++',1,1560)
LexToken(SEMICOLON,';',1,1562)
LexToken(RIGHT_BRACE,'}',1,1568)
LexToken(ONE_LINE_COMMENT,'// Otros operadores relacionales',1,1574)
LexToken(ID,'$a',1,1611)
LexToken(EQUALS,'=',1,1614)
LexToken(INTEGER,5,1,1616)
LexToken(SEMICOLON,';',1,1617)
LexToken(ID,'$b',1,1623)
LexToken(EQUALS,'=',1,1626)
LexToken(INTEGER,10,1,1628)
LexToken(SEMICOLON,';',1,1630)
LexToken(ID,'$c',1,1636)
LexToken(EQUALS,'=',1,1639)
LexToken(INTEGER,5,1,1641)
LexToken(SEMICOLON,';',1,1642)
LexToken(ECHO,'echo',1,1648)
LexToken(STRING,'"a == b: "',1,1653)
LexToken(DOT,'.',1,1664)
LexToken(NAME,'var_export',1,1666)
LexToken(LEFT_PAREN,'(',1,1676)
LexToken(ID,'$a',1,1677)
LexToken(EQUAL_TO,'==',1,1680)
LexToken(ID,'$b',1,1683)
LexToken(COMMA,',',1,1685)
LexToken(TRUE,'true',1,1687)
LexToken(RIGHT_PAREN,')',1,1691)
LexToken(DOT,'.',1,1693)
LexToken(STRING,'"\n"',1,1695)
LexToken(SEMICOLON,';',1,1698)
LexToken(ONE_LINE_COMMENT,'// false',1,1700)
LexToken(ECHO,'echo',1,1713)
LexToken(STRING,'"a != b: "',1,1718)
LexToken(DOT,'.',1,1729)
LexToken(NAME,'var_export',1,1731)
LexToken(LEFT_PAREN,'(',1,1741)
LexToken(ID,'$a',1,1742)
LexToken(NOT_EQUAL_TO,'!=',1,1745)
LexToken(ID,'$b',1,1748)
LexToken(COMMA,',',1,1750)
LexToken(TRUE,'true',1,1752)
LexToken(RIGHT_PAREN,')',1,1756)
LexToken(DOT,'.',1,1758)
LexToken(STRING,'"\n"',1,1760)
LexToken(SEMICOLON,';',1,1763)
LexToken(ONE_LINE_COMMENT,'// true',1,1765)
LexToken(ECHO,'echo',1,1777)
LexToken(STRING,'"a < b: "',1,1782)
LexToken(DOT,'.',1,1792)
LexToken(NAME,'var_export',1,1794)
LexToken(LEFT_PAREN,'(',1,1804)
LexToken(ID,'$a',1,1805)
LexToken(LESS_THAN,'<',1,1808)
LexToken(ID,'$b',1,1810)
LexToken(COMMA,',',1,1812)
LexToken(TRUE,'true',1,1814)
LexToken(RIGHT_PAREN,')',1,1818)
LexToken(DOT,'.',1,1820)
LexToken(STRING,'"\n"',1,1822)
LexToken(SEMICOLON,';',1,1825)
LexToken(ONE_LINE_COMMENT,'// true',1,1827)
LexToken(ECHO,'echo',1,1839)
LexToken(STRING,'"a > b: "',1,1844)
LexToken(DOT,'.',1,1854)
LexToken(NAME,'var_export',1,1856)
LexToken(LEFT_PAREN,'(',1,1866)
LexToken(ID,'$a',1,1867)
LexToken(GREATER_THAN,'>',1,1870)
LexToken(ID,'$b',1,1872)
LexToken(COMMA,',',1,1874)
LexToken(TRUE,'true',1,1876)
LexToken(RIGHT_PAREN,')',1,1880)
LexToken(DOT,'.',1,1882)
LexToken(STRING,'"\n"',1,1884)
LexToken(SEMICOLON,';',1,1887)
LexToken(ONE_LINE_COMMENT,'// false',1,1889)
LexToken(ECHO,'echo',1,1902)
LexToken(STRING,'"a <= c: "',1,1907)
LexToken(DOT,'.',1,1918)
LexToken(NAME,'var_export',1,1920)
LexToken(LEFT_PAREN,'(',1,1930)
LexToken(ID,'$a',1,1931)
LexToken(LESS_EQUAL,'<=',1,1934)
LexToken(ID,'$c',1,1937)
LexToken(COMMA,',',1,1939)
LexToken(TRUE,'true',1,1941)
LexToken(RIGHT_PAREN,')',1,1945)
LexToken(DOT,'.',1,1947)
LexToken(STRING,'"\n"',1,1949)
LexToken(SEMICOLON,';',1,1952)
LexToken(ONE_LINE_COMMENT,'// true',1,1954)
LexToken(ECHO,'echo',1,1966)
LexToken(STRING,'"a >= c: "',1,1971)
LexToken(DOT,'.',1,1982)
LexToken(NAME,'var_export',1,1984)
LexToken(LEFT_PAREN,'(',1,1994)
LexToken(ID,'$a',1,1995)
LexToken(GREATER_EQUAL,'>=',1,1998)
LexToken(ID,'$c',1,2001)
LexToken(COMMA,',',1,2003)
LexToken(TRUE,'true',1,2005)
LexToken(RIGHT_PAREN,')',1,2009)
LexToken(DOT,'.',1,2011)
LexToken(STRING,'"\n"',1,2013)
LexToken(SEMICOLON,';',1,2016)
LexToken(ONE_LINE_COMMENT,'// true',1,2018)
LexToken(CLOSE_TAG,'?>',1,2026)
