LexToken(OPEN_TAG,'<?php',1,1)
LexToken(ONE_LINE_COMMENT,'// Declaración de variables',1,7)
LexToken(ID,'$name',1,35)
LexToken(EQUALS,'=',1,41)
LexToken(STRING,'"Juan"',1,43)
LexToken(SEMICOLON,';',1,49)
LexToken(ID,'$age',1,51)
LexToken(EQUALS,'=',1,56)
LexToken(INTEGER,20,1,58)
LexToken(SEMICOLON,';',1,60)
LexToken(ID,'$isStudent',1,62)
LexToken(EQUALS,'=',1,73)
LexToken(TRUE,'true',1,75)
LexToken(SEMICOLON,';',1,79)
LexToken(ONE_LINE_COMMENT,'// Función simple',1,81)
LexToken(FUNCTION,'function',1,99)
LexToken(NAME,'greet',1,108)
LexToken(LEFT_PAREN,'(',1,113)
LexToken(ID,'$name',1,114)
LexToken(RIGHT_PAREN,')',1,119)
LexToken(LEFT_BRACE,'{',1,121)
LexToken(RETURN,'return',1,124)
LexToken(STRING,'"Hola, "',1,131)
LexToken(DOT,'.',1,140)
LexToken(ID,'$name',1,142)
LexToken(DOT,'.',1,148)
LexToken(STRING,'"!"',1,150)
LexToken(SEMICOLON,';',1,153)
LexToken(RIGHT_BRACE,'}',1,155)
LexToken(ONE_LINE_COMMENT,'// Llamada a la función',1,157)
LexToken(ECHO,'echo',1,181)
LexToken(NAME,'greet',1,186)
LexToken(LEFT_PAREN,'(',1,191)
LexToken(ID,'$name',1,192)
LexToken(RIGHT_PAREN,')',1,197)
LexToken(DOT,'.',1,199)
LexToken(STRING,'"\n"',1,201)
LexToken(SEMICOLON,';',1,204)
LexToken(ONE_LINE_COMMENT,'// Condicional',1,206)
LexToken(IF,'if',1,221)
LexToken(LEFT_PAREN,'(',1,224)
LexToken(ID,'$age',1,225)
LexToken(GREATER_EQUAL,'>=',1,230)
LexToken(INTEGER,18,1,233)
LexToken(RIGHT_PAREN,')',1,235)
LexToken(LEFT_BRACE,'{',1,237)
LexToken(ECHO,'echo',1,240)
LexToken(ID,'$name',1,245)
LexToken(DOT,'.',1,251)
LexToken(STRING,'" es mayor de edad.\n"',1,253)
LexToken(SEMICOLON,';',1,274)
LexToken(RIGHT_BRACE,'}',1,276)
LexToken(ELSE,'else',1,278)
LexToken(LEFT_BRACE,'{',1,283)
LexToken(ECHO,'echo',1,286)
LexToken(ID,'$name',1,291)
LexToken(DOT,'.',1,297)
LexToken(STRING,'" es menor de edad.\n"',1,299)
LexToken(SEMICOLON,';',1,320)
LexToken(RIGHT_BRACE,'}',1,322)
LexToken(ONE_LINE_COMMENT,'// Bucle for',1,324)
LexToken(FOR,'for',1,337)
LexToken(LEFT_PAREN,'(',1,341)
LexToken(ID,'$i',1,342)
LexToken(EQUALS,'=',1,345)
LexToken(INTEGER,0,1,347)
LexToken(SEMICOLON,';',1,348)
LexToken(ID,'$i',1,350)
LexToken(LESS_THAN,'<',1,353)
LexToken(INTEGER,5,1,355)
LexToken(SEMICOLON,';',1,356)
LexToken(ID,'$i',1,358)
LexToken(PLUS_PLUS,'++',1,360)
LexToken(RIGHT_PAREN,')',1,362)
LexToken(LEFT_BRACE,'{',1,364)
LexToken(ECHO,'echo',1,367)
LexToken(STRING,'"Número: "',1,372)
LexToken(DOT,'.',1,383)
LexToken(ID,'$i',1,385)
LexToken(DOT,'.',1,388)
LexToken(STRING,'"\n"',1,390)
LexToken(SEMICOLON,';',1,393)
LexToken(RIGHT_BRACE,'}',1,395)
LexToken(ONE_LINE_COMMENT,'// Declaración de Array',1,397)
LexToken(ID,'$fruits',1,421)
LexToken(EQUALS,'=',1,429)
LexToken(ARRAY,'array',1,431)
LexToken(LEFT_PAREN,'(',1,436)
LexToken(STRING,'"manzana"',1,437)
LexToken(COMMA,',',1,446)
LexToken(STRING,'"naranja"',1,448)
LexToken(COMMA,',',1,457)
LexToken(STRING,'"plátano"',1,459)
LexToken(RIGHT_PAREN,')',1,468)
LexToken(SEMICOLON,';',1,469)
LexToken(ONE_LINE_COMMENT,'// Clase y objeto',1,471)
LexToken(CLASS,'class',1,489)
LexToken(NAME,'Person',1,495)
LexToken(LEFT_BRACE,'{',1,502)
LexToken(PUBLIC,'public',1,505)
LexToken(ID,'$name',1,512)
LexToken(SEMICOLON,';',1,517)
LexToken(PUBLIC,'public',1,520)
LexToken(ID,'$age',1,527)
LexToken(SEMICOLON,';',1,531)
LexToken(ONE_LINE_COMMENT,'// Constructor',1,534)
LexToken(PUBLIC,'public',1,550)
LexToken(FUNCTION,'function',1,557)
LexToken(NAME,'__construct',1,566)
LexToken(LEFT_PAREN,'(',1,577)
LexToken(ID,'$name',1,578)
LexToken(COMMA,',',1,583)
LexToken(ID,'$age',1,585)
LexToken(RIGHT_PAREN,')',1,589)
LexToken(LEFT_BRACE,'{',1,591)
LexToken(ID,'$this',1,594)
