LexToken(OPEN_TAG,'<?php',1,5)
LexToken(ONE_LINE_COMMENT,'// Declaración de variables',1,15)
LexToken(ID,'$variable1',1,47)
LexToken(EQUALS,'=',1,58)
LexToken(INTEGER,10,1,60)
LexToken(SEMICOLON,';',1,62)
LexToken(ID,'$variable2',1,68)
LexToken(EQUALS,'=',1,79)
LexToken(STRING,'"Hola, mundo!"',1,81)
LexToken(SEMICOLON,';',1,95)
LexToken(ID,'$variable3',1,101)
LexToken(EQUALS,'=',1,112)
LexToken(TRUE,'true',1,114)
LexToken(SEMICOLON,';',1,118)
LexToken(ONE_LINE_COMMENT,'// Estructura condicional',1,124)
LexToken(IF,'if',1,154)
LexToken(LPAREN,'(',1,157)
LexToken(ID,'$variable1',1,158)
LexToken(GREATER_THAN,'>',1,169)
LexToken(INTEGER,5,1,171)
LexToken(RPAREN,')',1,172)
LexToken(LEFT_BRACE,'{',1,174)
LexToken(ECHO,'echo',1,180)
LexToken(STRING,'"El número es mayor que 5"',1,185)
LexToken(SEMICOLON,';',1,211)
LexToken(RIGHT_BRACE,'}',1,217)
LexToken(ELSE,'else',1,219)
LexToken(LEFT_BRACE,'{',1,224)
LexToken(ECHO,'echo',1,230)
LexToken(STRING,'"El número es menor o igual que 5"',1,235)
LexToken(SEMICOLON,';',1,269)
LexToken(RIGHT_BRACE,'}',1,275)
LexToken(ONE_LINE_COMMENT,'// Bucle',1,281)
LexToken(FOR,'for',1,294)
LexToken(LPAREN,'(',1,298)
LexToken(ID,'$i',1,299)
LexToken(EQUALS,'=',1,302)
LexToken(INTEGER,0,1,304)
LexToken(SEMICOLON,';',1,305)
LexToken(ID,'$i',1,307)
LexToken(LESS_THAN,'<',1,310)
LexToken(INTEGER,5,1,312)
LexToken(SEMICOLON,';',1,313)
LexToken(ID,'$i',1,315)
LexToken(PLUS_PLUS,'++',1,317)
LexToken(RPAREN,')',1,319)
LexToken(LEFT_BRACE,'{',1,321)
LexToken(ECHO,'echo',1,327)
LexToken(STRING,'"Iteración número: $i<br>"',1,332)
LexToken(SEMICOLON,';',1,358)
LexToken(RIGHT_BRACE,'}',1,364)
LexToken(ONE_LINE_COMMENT,'// Operadores aritméticos',1,370)
LexToken(ID,'$resultado',1,400)
LexToken(EQUALS,'=',1,411)
LexToken(ID,'$variable1',1,413)
LexToken(PLUS,'+',1,424)
LexToken(INTEGER,3,1,426)
LexToken(SEMICOLON,';',1,427)
LexToken(ECHO,'echo',1,433)
LexToken(STRING,'"El resultado de la suma es: $resultado"',1,438)
LexToken(SEMICOLON,';',1,478)
LexToken(ONE_LINE_COMMENT,'// Operadores lógicos',1,484)
LexToken(IF,'if',1,510)
LexToken(LPAREN,'(',1,513)
LexToken(ID,'$variable3',1,514)
LexToken(LOGICAL_AND,'&&',1,525)
LexToken(ID,'$variable1',1,528)
LexToken(EQUALS,'=',1,539)
LexToken(EQUALS,'=',1,540)
LexToken(INTEGER,10,1,542)
LexToken(RPAREN,')',1,544)
LexToken(LEFT_BRACE,'{',1,546)
LexToken(ECHO,'echo',1,552)
LexToken(STRING,'"La variable3 es verdadera y la variable1 es igual a 10"',1,557)
LexToken(SEMICOLON,';',1,613)
LexToken(RIGHT_BRACE,'}',1,619)
LexToken(ONE_LINE_COMMENT,'// Asignación',1,625)
LexToken(ID,'$variable1',1,643)
LexToken(PLUS_EQUALS,'+=',1,654)
LexToken(INTEGER,5,1,657)
LexToken(SEMICOLON,';',1,658)
LexToken(ECHO,'echo',1,664)
LexToken(STRING,'"El valor de variable1 después de la suma es: $variable1"',1,669)
LexToken(SEMICOLON,';',1,726)
LexToken(ONE_LINE_COMMENT,'// Arrays',1,732)
LexToken(ID,'$miArray',1,746)
LexToken(EQUALS,'=',1,755)
LexToken(ARRAY,'array',1,757)
LexToken(LPAREN,'(',1,762)
LexToken(STRING,'"manzana"',1,763)
LexToken(COMMA,',',1,772)
LexToken(STRING,'"banana"',1,774)
LexToken(COMMA,',',1,782)
LexToken(STRING,'"naranja"',1,784)
LexToken(RPAREN,')',1,793)
LexToken(SEMICOLON,';',1,794)
LexToken(ECHO,'echo',1,800)
LexToken(STRING,'"El segundo elemento del array es: "',1,805)
LexToken(DOT,'.',1,842)
LexToken(ID,'$miArray',1,844)
LexToken(LEFT_BRACKET,'[',1,852)
LexToken(INTEGER,1,1,853)
LexToken(RIGHT_BRACKET,']',1,854)
LexToken(SEMICOLON,';',1,855)
LexToken(ONE_LINE_COMMENT,'// Funciones',1,861)
LexToken(FUNCTION,'function',1,878)
LexToken(NAME,'miFuncion',1,887)
LexToken(LPAREN,'(',1,896)
LexToken(ID,'$parametro1',1,897)
LexToken(COMMA,',',1,908)
LexToken(ID,'$parametro2',1,910)
LexToken(RPAREN,')',1,921)
LexToken(LEFT_BRACE,'{',1,923)
LexToken(RETURN,'return',1,929)
LexToken(ID,'$parametro1',1,936)
LexToken(TIMES,'*',1,948)
LexToken(ID,'$parametro2',1,950)
LexToken(SEMICOLON,';',1,961)
LexToken(RIGHT_BRACE,'}',1,967)
LexToken(ECHO,'echo',1,973)
LexToken(STRING,'"El resultado de la función es: "',1,978)
LexToken(DOT,'.',1,1012)
LexToken(NAME,'miFuncion',1,1014)
LexToken(LPAREN,'(',1,1023)
LexToken(INTEGER,2,1,1024)
LexToken(COMMA,',',1,1025)
LexToken(INTEGER,3,1,1027)
LexToken(RPAREN,')',1,1028)
LexToken(SEMICOLON,';',1,1029)
LexToken(CLOSE_TAG,'?>',1,1035)
