LexToken(OPEN_TAG,'<?php',1,1)
LexToken(ONE_LINE_COMMENT,'// Declaración de variables ',1,11)
LexToken(ID,'$variable1',1,41)
LexToken(EQUALS,'=',1,52)
LexToken(INTEGER,10,1,54)
LexToken(SEMICOLON,';',1,56)
LexToken(ID,'$variable2',1,60)
LexToken(EQUALS,'=',1,71)
LexToken(STRING,'"Hola, mundo!"',1,73)
LexToken(SEMICOLON,';',1,87)
LexToken(ID,'$variable3',1,91)
LexToken(EQUALS,'=',1,102)
LexToken(TRUE,'true',1,104)
LexToken(SEMICOLON,';',1,108)
LexToken(ONE_LINE_COMMENT,'// Estructura condicional ',1,116)
LexToken(IF,'if',1,144)
LexToken(LPAREN,'(',1,147)
LexToken(ID,'$variable1',1,148)
LexToken(GREATER_THAN,'>',1,159)
LexToken(INTEGER,5,1,161)
LexToken(RPAREN,')',1,162)
LexToken(LEFT_BRACE,'{',1,164)
LexToken(ECHO,'echo',1,172)
LexToken(STRING,'"El número es mayor que 5"',1,177)
LexToken(SEMICOLON,';',1,203)
LexToken(RIGHT_BRACE,'}',1,207)
LexToken(ELSE,'else',1,209)
LexToken(LEFT_BRACE,'{',1,214)
LexToken(ECHO,'echo',1,222)
LexToken(STRING,'"El número es menor o igual que 5"',1,227)
LexToken(SEMICOLON,';',1,261)
LexToken(RIGHT_BRACE,'}',1,265)
LexToken(ONE_LINE_COMMENT,'// Bucle ',1,273)
LexToken(FOR,'for',1,284)
LexToken(LPAREN,'(',1,288)
LexToken(ID,'$i',1,289)
LexToken(EQUALS,'=',1,292)
LexToken(INTEGER,0,1,294)
LexToken(SEMICOLON,';',1,295)
LexToken(ID,'$i',1,297)
LexToken(LESS_THAN,'<',1,300)
LexToken(INTEGER,5,1,302)
LexToken(SEMICOLON,';',1,303)
LexToken(ID,'$i',1,305)
LexToken(PLUS_PLUS,'++',1,307)
LexToken(RPAREN,')',1,309)
LexToken(LEFT_BRACE,'{',1,311)
LexToken(ECHO,'echo',1,319)
LexToken(STRING,'"Iteración número: $i<br>"',1,324)
LexToken(SEMICOLON,';',1,350)
LexToken(RIGHT_BRACE,'}',1,354)
LexToken(ONE_LINE_COMMENT,'// Operadores aritméticos ',1,362)
LexToken(ID,'$resultado',1,390)
LexToken(EQUALS,'=',1,401)
LexToken(ID,'$variable1',1,403)
LexToken(PLUS,'+',1,414)
LexToken(INTEGER,3,1,416)
LexToken(SEMICOLON,';',1,417)
LexToken(ECHO,'echo',1,421)
LexToken(STRING,'"El resultado de la suma es: $resultado"',1,426)
LexToken(SEMICOLON,';',1,466)
LexToken(ONE_LINE_COMMENT,'// Operadores lógicos ',1,474)
LexToken(IF,'if',1,498)
LexToken(LPAREN,'(',1,501)
LexToken(ID,'$variable3',1,502)
LexToken(LOGICAL_AND,'&&',1,513)
LexToken(ID,'$variable1',1,516)
LexToken(EQUALS,'=',1,527)
LexToken(EQUALS,'=',1,528)
LexToken(INTEGER,10,1,530)
LexToken(RPAREN,')',1,532)
LexToken(LEFT_BRACE,'{',1,534)
LexToken(ECHO,'echo',1,542)
LexToken(STRING,'"La variable3 es verdadera y la variable1 es igual a 10"',1,547)
LexToken(SEMICOLON,';',1,603)
LexToken(RIGHT_BRACE,'}',1,607)
LexToken(ONE_LINE_COMMENT,'// Asignación ',1,615)
LexToken(ID,'$variable1',1,631)
LexToken(PLUS_EQUALS,'+=',1,642)
LexToken(INTEGER,5,1,645)
LexToken(SEMICOLON,';',1,646)
LexToken(ECHO,'echo',1,650)
LexToken(STRING,'"El valor de variable1 después de la suma es: $variable1"',1,655)
LexToken(SEMICOLON,';',1,712)
LexToken(ONE_LINE_COMMENT,'// Arrays ',1,720)
LexToken(ID,'$miArray',1,732)
LexToken(EQUALS,'=',1,741)
LexToken(ARRAY,'array',1,743)
LexToken(LPAREN,'(',1,748)
LexToken(STRING,'"manzana"',1,749)
LexToken(COMMA,',',1,758)
LexToken(STRING,'"banana"',1,760)
LexToken(COMMA,',',1,768)
LexToken(STRING,'"naranja"',1,770)
LexToken(RPAREN,')',1,779)
LexToken(SEMICOLON,';',1,780)
LexToken(ECHO,'echo',1,784)
LexToken(STRING,'"El segundo elemento del array es: "',1,789)
LexToken(DOT,'.',1,826)
LexToken(ID,'$miArray',1,828)
LexToken(LEFT_BRACKET,'[',1,836)
LexToken(INTEGER,1,1,837)
LexToken(RIGHT_BRACKET,']',1,838)
LexToken(SEMICOLON,';',1,839)
LexToken(ONE_LINE_COMMENT,'// Funciones ',1,847)
LexToken(FUNCTION,'function',1,862)
LexToken(NAME,'miFuncion',1,871)
LexToken(LPAREN,'(',1,880)
LexToken(ID,'$parametro1',1,881)
LexToken(COMMA,',',1,892)
LexToken(ID,'$parametro2',1,894)
LexToken(RPAREN,')',1,905)
LexToken(LEFT_BRACE,'{',1,907)
LexToken(RETURN,'return',1,915)
LexToken(ID,'$parametro1',1,922)
LexToken(TIMES,'*',1,934)
LexToken(ID,'$parametro2',1,936)
LexToken(SEMICOLON,';',1,947)
LexToken(RIGHT_BRACE,'}',1,951)
LexToken(ECHO,'echo',1,959)
LexToken(STRING,'"El resultado de la función es: "',1,964)
LexToken(DOT,'.',1,998)
LexToken(NAME,'miFuncion',1,1000)
LexToken(LPAREN,'(',1,1009)
LexToken(INTEGER,2,1,1010)
LexToken(COMMA,',',1,1011)
LexToken(INTEGER,3,1,1013)
LexToken(RPAREN,')',1,1014)
LexToken(SEMICOLON,';',1,1015)
LexToken(CLOSE_TAG,'?>',1,1019)
